country,capture,aquaculture,total
Angola,486490,655,487145
Argentina,755226,3673,758899
Australia,174629,96847,271476
Bangladesh,1674770,2203554,3878324
Brazil,705000,581230,1286230
Cambodia,629950,172500,802450
Cameroon,233190,2315,235505
Canada,874727,200765,1075492
Chad,110000,94,110094
Chile,1829238,1050117,2879355
China,17800000,63700000,81500000
Colombia,86344,96970,183314
Democratic Republic of the Congo,237372,3161,240533
Denmark,670344,36337,706681
Ecuador,715495,451090,1166585
Egypt,335614,1370660,1706274
Faroe Islands,568435,83300,651735
Finland,192065,14412,206477
France,561173,166640,727813
Germany,271185,41721,312906
Ghana,327457,52480,379937
Greece,76362,123410,199772
Greenland,273175,0,273175
Guinea,128000,250,128250
Hong Kong,142775,4258,147033
Iceland,1085176,15129,1100305
India,5082332,5703002,10785334
Indonesia,6584419,16600000,23184419
Iran,695407,398129,1093536
Ireland,259845,40244,300089
Italy,198130,157109,355239
Japan,3275263,1067994,4343257
Kenya,171391,15360,186751
Kiribati,172822,3652,176474
Laos,70915,109835,180750
Latvia,114806,788,115594
Lithuania,106945,4393,111338
Madagascar,142333,25998,168331
Malawi,152852,7646,160498
Malaysia,1584371,407887,1992258
Maldives,129191,0,129191
Mali,102486,4194,106680
Mauritania,609754,0,609754
Mexico,1524467,221328,1745795
Morocco,1454105,1142,1455247
Mozambique,299591,1180,300771
Myanmar,2072390,1017644,3090034
Namibia,503878,591,504469
Netherlands,370274,62940,433214
New Zealand,424791,109016,533807
Nigeria,734731,306727,1041458
North Korea,209000,554100,763100
Norway,2203360,1326216,3529576
Oman,279606,103,279709
Pakistan,513156,156430,669586
Panama,144450,8808,153258
Papua New Guinea,309245,6200,315445
Peru,3811802,100187,3911989
Philippines,2027992,2200914,4228906
Poland,218115,38300,256415
Portugal,186950,9787,196737
Russia,4773413,173840,4947253
Saudi Arabia,68082,39920,108002
Senegal,474162,2079,476241
Seychelles,127128,0,127128
Sierra Leone,202100,75,202175
South Africa,622070,7994,630064
South Korea,1395951,1859220,3255171
Spain,915137,283831,1198968
Sri Lanka,521637,30974,552611
Sweden,208783,15747,224530
Tanzania,370966,12547,383513
Thailand,1530583,962571,2493154
Tunisia,115064,16165,131229
Turkey,335326,250331,585657
Uganda,389244,118051,507295
United Kingdom,702405,194492,896897
United States,4931017,444369,5375386
Venezuela,284175,25998,310173
Vietnam,2785940,3634531,6420471
Yemen,154450,0,154450
Zambia,83918,30285,114203
